Número Emenda,Data Criação,Município,CNPJ,Nome Responsável,Cargo Responsável,LOA 2026 Check,Âmbito,Tipo Emenda,Tipo Emenda Outro,Fundamento Legal,Autor,Número Emenda,Objeto,Finalidade,Função,Destinação,Órgão Beneficiário,Localidade Beneficiada,Instrumento Jurídico,Possui Cronograma,Prazo Aplicação,Valor,Valor Autorizado,% RCL,Conta Específica,Número Conta,Portal Transparência Check,Divulgação Tempo Real,Link Portal,Monitoramento Check,Status,Prioridade,Latitude,Longitude,Categoria,Fornecedor,Número Licitação,Código de Aplicação,Código Aplicação Variável,SubFunção
066.18.30.2026,2026-02-19,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Ralfi Rafael da Silva,066.18.30.2026,Núcleo Terapêutico Multidiciplinar para pessoas com autismo,,14,Custeio,GABINETE DA SECRETARIA EXECUTIVA DA PESSOA COM DEF,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"150.000,00","150.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,normal,,,14,,,804,0230,242
066.21.30.2026,2026-03-05T02:37:45.859Z,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Stephane Carolina Rossi de Almeida Magdesian,066.21.30.2026,Núcleo Terapêutico Multidiciplinar para pessoas com autismo,,14,Custeio,GABINETE DA SECRETARIA EXECUTIVA DA PESSOA COM DEF,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"150.000,00","150.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,14,,,804,0282,242
068.10.12.2026,2026-03-06T00:47:12.432Z,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Gabriel de Paula Barbosa,068.10.12.2026,Desenvolvimento de oficinas esportivas e lúdicas para crianças e adolescentes no contraturno escolar,,27,Custeio,"GABINETE DA SECRETARIA DE ESPORTE, LAZER E RECREAÇ",,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"100.000,00","100.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,27,,,804,0123,812
068.17.12.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Pedrinho Cantagessi Vitoriano,068.17.12.2026,Desenvolvimento de oficinas esportivas e lúdicas para crianças e adolescentes no contraturno escolar,,27,Custeio,"GABINETE DA SECRETARIA DE ESPORTE, LAZER E RECREAÇ",,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"50.000,00","50.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,27,,,804,0221,812
068.19.12.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Rodrigo Mendes Pascoto,068.19.12.2026,Desenvolvimento de oficinas esportivas e lúdicas para crianças e adolescentes no contraturno escolar,,27,Custeio,"GABINETE DA SECRETARIA DE ESPORTE, LAZER E RECREAÇ",,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"200.000,00","200.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,27,,,804,0249,812
078.02.09.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Batista de Sousa Moreira,078.02.09.2026,Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas,,10,Custeio,DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"126.668,85","126.668,85","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,10,,,804,0023,302
078.02.09.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Batista de Sousa Moreira,078.02.09.2026,Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas,,10,Investimento,DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"25.000,00","25.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,10,,,804,0023,302
078.21.09.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Stephane Carolina Rossi de Almeida Magdesian,078.21.09.2026,Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas,,10,Custeio,DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"125.000,00","125.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,10,,,804,0283,302
078.21.09.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Stephane Carolina Rossi de Almeida Magdesian,078.21.09.2026,Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas,,10,Investimento,DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"25.000,00","25.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,10,,,804,0283,302
099.03.12.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Carmônio Gonçalves Bastos,099.03.12.2026,"Incentivar através do esporte integração entre as comunidades, tirando do ócio e promovendo qualidade de vida",,27,Custeio,"GABINETE DA SECRETARIA DE ESPORTE, LAZER E RECREAÇ",,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"50.000,00","50.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,27,,,804,0031,812
