ID;Numero_Emenda;Autor;Objeto;Destinacao;Valor;Funcao;Subfuncao;Status
"001.06.17.2026";"001.06.17.2026";"Elsa Natal de Oliveira";"Oficinas de Educação Ambiental e Cidadania para crianças e adolescentes";"CUSTEIO";"350.000,00";"";"";"elaboração"
"002.06.14.2026";"002.06.14.2026";"Elsa Natal de Oliveira";"Fortalecimento de vínculos por meio de espaços de encontro, escuta e troca entre indivíduos, familia e comunidade, por meio de atividades socioeducativas, culturais, esportivas e de lazer.";"AMBOS";"400.000,00";"";"";"Não Inciada"
"003.06.12.2026";"003.06.12.2026";"Elsa Natal de Oliveira";"Oficinas de Artes Marciais para crianças e adolescentes";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"004.04.34.2026";"004.04.34.2026";"Délbio Camargo Teruel";"Equipamentos tecnológicos de monitoramento, coomunicação e capacitação para ações de prevenção, preparação e resposta frente a situações de risco e desastres naturais.";"AMBOS";"100.000,00";"";"";"Não Inciada"
"005.04.20.2026";"005.04.20.2026";"Délbio Camargo Teruel";"Curso de Atendimento pré- hospitalar tático para agentes da GCM e outros servidores atuantes em situações de emergência.";"CUSTEIO";"300.000,00";"";"";"Não Inciada"
"006.04.14.2026";"006.04.14.2026";"Délbio Camargo Teruel";"Adequação e manutenção da sede da instituição para atendimento da população em serviço de convivência e fortalecimento de vínculos.";"AMBOS";"160.668,85";"";"";"Não Inciada"
"007.04.30.2026";"007.04.30.2026";"Délbio Camargo Teruel";"Serviços especializados para pessoas com deficiência e seus cuidadores em situação de vulnerabilidade Social.";"CUSTEIO";"150.000,00";"";"";"Não Inciada"
"008.04.12.2026";"008.04.12.2026";"Délbio Camargo Teruel";"Fomentar a prática esportiva de Futsal de forma integrativa e formativa.";"CUSTEIO";"150.000,00";"";"";"Não Inciada"
"009.04.02.2026";"009.04.02.2026";"Délbio Camargo Teruel";"Aquisição de Equipamentos e material de consumo para ensinar costura para pessoas em situação de vulnerabilidade e mobilizar a cidade em corrente de solidariedade";"AMBOS";"63.000,00";"";"";"Não Inciada"
"010.04.14.2026";"010.04.14.2026";"Délbio Camargo Teruel";"Encontro intergeracional entre idosos e jovens por meio da arte, cultura e sustentabilidade para geração de renda e estimulo de protagonismo social.";"CUSTEIO";"150.000,00";"";"";"Não Inciada"
"011.04.12.2026";"011.04.12.2026";"Délbio Camargo Teruel";"Promover ambiente esportivo mais saudável, equiilibrado e acolhedor com foco na saúde mental de atletas.";"CUSTEIO";"78.000,00";"";"";"Não Inciada"
"012.11.08.2026";"012.11.08.2026";"Gilmeiron Medeiros";"Cobertura da rampa de acessibilidade da EMEIEF SAAD BECHARA no bairro Piratininga";"INVESTIMENTO";"15.000,00";"";"";"Não Inciada"
